stage,project,manifest,exp_id,fusion_method,backbone,protocol,class_mode,lr,label_fraction,epochs,folds,seeds,runs
smoke,fusion_protocol,00_smoke.json,SMOKE_radar_only,radar_only,tcn,mixed_budget,4,0.0005,0,2,0,42,1
smoke,fusion_protocol,00_smoke.json,SMOKE_motion_domain,motion_domain_proposed,tcn,mixed_budget,4,0.0005,0,2,0,42,1
table5,fusion_protocol,01_table5_fusion_tcn.json,T5_radar_only_tcn,radar_only,tcn,mixed_budget,4,0.0005,0,80,"0,1,2,3,4","42,43,44",15
table5,fusion_protocol,01_table5_fusion_tcn.json,T5_early_fusion_tcn,early_fusion,tcn,mixed_budget,4,0.0005,0,80,"0,1,2,3,4","42,43,44",15
table5,fusion_protocol,01_table5_fusion_tcn.json,T5_late_fusion_tcn,late_fusion,tcn,mixed_budget,4,0.0005,0,80,"0,1,2,3,4","42,43,44",15
table5,fusion_protocol,01_table5_fusion_tcn.json,T5_attention_fusion_tcn,attention_fusion,tcn,mixed_budget,4,0.0005,0,80,"0,1,2,3,4","42,43,44",15
table5,fusion_protocol,01_table5_fusion_tcn.json,T5_motion_domain_proposed_tcn,motion_domain_proposed,tcn,mixed_budget,4,0.0005,0,80,"0,1,2,3,4","42,43,44",15
backbone,fusion_protocol,02_backbone_robustness.json,B_radar_only_tcn,radar_only,tcn,mixed_budget,4,0.0005,0,80,"0,1,2,3,4","42,43,44",15
backbone,fusion_protocol,02_backbone_robustness.json,B_early_fusion_tcn,early_fusion,tcn,mixed_budget,4,0.0005,0,80,"0,1,2,3,4","42,43,44",15
backbone,fusion_protocol,02_backbone_robustness.json,B_motion_domain_tcn,motion_domain_proposed,tcn,mixed_budget,4,0.0005,0,80,"0,1,2,3,4","42,43,44",15
backbone,fusion_protocol,02_backbone_robustness.json,B_radar_only_gru,radar_only,gru,mixed_budget,4,0.0005,0,80,"0,1,2,3,4","42,43,44",15
backbone,fusion_protocol,02_backbone_robustness.json,B_early_fusion_gru,early_fusion,gru,mixed_budget,4,0.0005,0,80,"0,1,2,3,4","42,43,44",15
backbone,fusion_protocol,02_backbone_robustness.json,B_motion_domain_gru,motion_domain_proposed,gru,mixed_budget,4,0.0005,0,80,"0,1,2,3,4","42,43,44",15
backbone,fusion_protocol,02_backbone_robustness.json,B_radar_only_transformer,radar_only,transformer,mixed_budget,4,0.0005,0,80,"0,1,2,3,4","42,43,44",15
backbone,fusion_protocol,02_backbone_robustness.json,B_early_fusion_transformer,early_fusion,transformer,mixed_budget,4,0.0005,0,80,"0,1,2,3,4","42,43,44",15
backbone,fusion_protocol,02_backbone_robustness.json,B_motion_domain_transformer,motion_domain_proposed,transformer,mixed_budget,4,0.0005,0,80,"0,1,2,3,4","42,43,44",15
labels,fusion_protocol,03_label_efficiency_proposed_vs_best_existing.json,LE_early_00,early_fusion,tcn,partial_mixed,4,0.0005,0.0,80,"0,1,2,3,4","42,43,44",15
labels,fusion_protocol,03_label_efficiency_proposed_vs_best_existing.json,LE_early_10,early_fusion,tcn,partial_mixed,4,0.0005,0.1,80,"0,1,2,3,4","42,43,44",15
labels,fusion_protocol,03_label_efficiency_proposed_vs_best_existing.json,LE_early_25,early_fusion,tcn,partial_mixed,4,0.0005,0.25,80,"0,1,2,3,4","42,43,44",15
labels,fusion_protocol,03_label_efficiency_proposed_vs_best_existing.json,LE_early_50,early_fusion,tcn,partial_mixed,4,0.0005,0.5,80,"0,1,2,3,4","42,43,44",15
